frontendQuestionId,titleSlug,titleCn
242,valid-anagram,有效的字母异位词
243,shortest-word-distance,最短单词距离
244,shortest-word-distance-ii,最短单词距离 II
245,shortest-word-distance-iii,最短单词距离 III
246,strobogrammatic-number,中心对称数
247,strobogrammatic-number-ii,中心对称数 II
248,strobogrammatic-number-iii,中心对称数 III
249,group-shifted-strings,移位字符串分组
250,count-univalue-subtrees,统计同值子树
251,flatten-2d-vector,展开二维向量
252,meeting-rooms,会议室
253,meeting-rooms-ii,会议室 II
254,factor-combinations,因子的组合
255,verify-preorder-sequence-in-binary-search-tree,验证二叉搜索树的前序遍历序列
256,paint-house,粉刷房子
257,binary-tree-paths,二叉树的所有路径
258,add-digits,各位相加
259,3sum-smaller,较小的三数之和
260,single-number-iii,只出现一次的数字 III
261,graph-valid-tree,以图判树
262,trips-and-users,行程和用户
263,ugly-number,丑数
264,ugly-number-ii,丑数 II
265,paint-house-ii,粉刷房子 II
266,palindrome-permutation,回文排列
267,palindrome-permutation-ii,回文排列 II
268,missing-number,丢失的数字
269,alien-dictionary,火星词典
270,closest-binary-search-tree-value,最接近的二叉搜索树值
271,encode-and-decode-strings,字符串的编码与解码
272,closest-binary-search-tree-value-ii,最接近的二叉搜索树值 II
273,integer-to-english-words,整数转换英文表示
274,h-index,H 指数
275,h-index-ii,H 指数 II
276,paint-fence,栅栏涂色
277,find-the-celebrity,搜寻名人
278,first-bad-version,第一个错误的版本
279,perfect-squares,完全平方数
280,wiggle-sort,摆动排序
281,zigzag-iterator,锯齿迭代器
282,expression-add-operators,给表达式添加运算符
283,move-zeroes,移动零
284,peeking-iterator,窥视迭代器
285,inorder-successor-in-bst,二叉搜索树中的中序后继
286,walls-and-gates,墙与门
287,find-the-duplicate-number,寻找重复数
288,unique-word-abbreviation,单词的唯一缩写
289,game-of-life,生命游戏
290,word-pattern,单词规律
291,word-pattern-ii,单词规律 II
292,nim-game,Nim 游戏
293,flip-game,翻转游戏
294,flip-game-ii,翻转游戏 II
295,find-median-from-data-stream,数据流的中位数
296,best-meeting-point,最佳的碰头地点
297,serialize-and-deserialize-binary-tree,二叉树的序列化与反序列化
298,binary-tree-longest-consecutive-sequence,二叉树最长连续序列
299,bulls-and-cows,猜数字游戏
300,longest-increasing-subsequence,最长递增子序列
301,remove-invalid-parentheses,删除无效的括号
302,smallest-rectangle-enclosing-black-pixels,包含全部黑色像素的最小矩形
303,range-sum-query-immutable,区域和检索 - 数组不可变
304,range-sum-query-2d-immutable,二维区域和检索 - 矩阵不可变
305,number-of-islands-ii,岛屿数量 II
306,additive-number,累加数
307,range-sum-query-mutable,区域和检索 - 数组可修改
308,range-sum-query-2d-mutable,二维区域和检索 - 矩阵可修改
309,best-time-to-buy-and-sell-stock-with-cooldown,买卖股票的最佳时机含冷冻期
310,minimum-height-trees,最小高度树
311,sparse-matrix-multiplication,稀疏矩阵的乘法
312,burst-balloons,戳气球
313,super-ugly-number,超级丑数
314,binary-tree-vertical-order-traversal,二叉树的垂直遍历
315,count-of-smaller-numbers-after-self,计算右侧小于当前元素的个数
316,remove-duplicate-letters,去除重复字母
317,shortest-distance-from-all-buildings,离建筑物最近的距离
318,maximum-product-of-word-lengths,最大单词长度乘积
319,bulb-switcher,灯泡开关
320,generalized-abbreviation,列举单词的全部缩写
321,create-maximum-number,拼接最大数
322,coin-change,零钱兑换
323,number-of-connected-components-in-an-undirected-graph,无向图中连通分量的数目
324,wiggle-sort-ii,摆动排序 II
325,maximum-size-subarray-sum-equals-k,和等于 k 的最长子数组长度
326,power-of-three,3 的幂
327,count-of-range-sum,区间和的个数
328,odd-even-linked-list,奇偶链表
329,longest-increasing-path-in-a-matrix,矩阵中的最长递增路径
330,patching-array,按要求补齐数组
331,verify-preorder-serialization-of-a-binary-tree,验证二叉树的前序序列化
332,reconstruct-itinerary,重新安排行程
333,largest-bst-subtree,最大二叉搜索子树
334,increasing-triplet-subsequence,递增的三元子序列
335,self-crossing,路径交叉
336,palindrome-pairs,回文对
337,house-robber-iii,打家劫舍 III
338,counting-bits,比特位计数
339,nested-list-weight-sum,嵌套列表加权和
340,longest-substring-with-at-most-k-distinct-characters,至多包含 K 个不同字符的最长子串
341,flatten-nested-list-iterator,扁平化嵌套列表迭代器
342,power-of-four,4的幂
343,integer-break,整数拆分
344,reverse-string,反转字符串
345,reverse-vowels-of-a-string,反转字符串中的元音字母
346,moving-average-from-data-stream,数据流中的移动平均值
347,top-k-frequent-elements,前 K 个高频元素
348,design-tic-tac-toe,设计井字棋
349,intersection-of-two-arrays,两个数组的交集
350,intersection-of-two-arrays-ii,两个数组的交集 II
351,android-unlock-patterns,安卓系统手势解锁
352,data-stream-as-disjoint-intervals,将数据流变为多个不相交区间
353,design-snake-game,贪吃蛇
354,russian-doll-envelopes,俄罗斯套娃信封问题
355,design-twitter,设计推特
356,line-reflection,直线镜像
357,count-numbers-with-unique-digits,统计各位数字都不同的数字个数
358,rearrange-string-k-distance-apart,K 距离间隔重排字符串
359,logger-rate-limiter,日志速率限制器
360,sort-transformed-array,有序转化数组
361,bomb-enemy,轰炸敌人
362,design-hit-counter,敲击计数器
363,max-sum-of-rectangle-no-larger-than-k,矩形区域不超过 K 的最大数值和
364,nested-list-weight-sum-ii,嵌套列表加权和 II
365,water-and-jug-problem,水壶问题
366,find-leaves-of-binary-tree,寻找二叉树的叶子节点
367,valid-perfect-square,有效的完全平方数
368,largest-divisible-subset,最大整除子集
369,plus-one-linked-list,给单链表加一
370,range-addition,区间加法
371,sum-of-two-integers,两整数之和
372,super-pow,超级次方
373,find-k-pairs-with-smallest-sums,查找和最小的 K 对数字
374,guess-number-higher-or-lower,猜数字大小
375,guess-number-higher-or-lower-ii,猜数字大小 II
376,wiggle-subsequence,摆动序列
377,combination-sum-iv,组合总和 Ⅳ
378,kth-smallest-element-in-a-sorted-matrix,有序矩阵中第 K 小的元素
379,design-phone-directory,电话目录管理系统
380,insert-delete-getrandom-o1,O(1) 时间插入、删除和获取随机元素
381,insert-delete-getrandom-o1-duplicates-allowed,O(1) 时间插入、删除和获取随机元素 - 允许重复
382,linked-list-random-node,链表随机节点
383,ransom-note,赎金信
384,shuffle-an-array,打乱数组
385,mini-parser,迷你语法分析器
386,lexicographical-numbers,字典序排数
387,first-unique-character-in-a-string,字符串中的第一个唯一字符
388,longest-absolute-file-path,文件的最长绝对路径
389,find-the-difference,找不同
390,elimination-game,消除游戏
391,perfect-rectangle,完美矩形
392,is-subsequence,判断子序列
393,utf-8-validation,UTF-8 编码验证
394,decode-string,字符串解码
395,longest-substring-with-at-least-k-repeating-characters,至少有 K 个重复字符的最长子串
396,rotate-function,旋转函数
397,integer-replacement,整数替换
398,random-pick-index,随机数索引
399,evaluate-division,除法求值
400,nth-digit,第 N 位数字
401,binary-watch,二进制手表
402,remove-k-digits,移掉 K 位数字
403,frog-jump,青蛙过河
404,sum-of-left-leaves,左叶子之和
405,convert-a-number-to-hexadecimal,数字转换为十六进制数
406,queue-reconstruction-by-height,根据身高重建队列
407,trapping-rain-water-ii,接雨水 II
408,valid-word-abbreviation,有效单词缩写
409,longest-palindrome,最长回文串
410,split-array-largest-sum,分割数组的最大值
411,minimum-unique-word-abbreviation,最短独占单词缩写
412,fizz-buzz,Fizz Buzz
413,arithmetic-slices,等差数列划分
414,third-maximum-number,第三大的数
415,add-strings,字符串相加
416,partition-equal-subset-sum,分割等和子集
417,pacific-atlantic-water-flow,太平洋大西洋水流问题
418,sentence-screen-fitting,屏幕可显示句子的数量
419,battleships-in-a-board,棋盘上的战舰
420,strong-password-checker,强密码检验器
421,maximum-xor-of-two-numbers-in-an-array,数组中两个数的最大异或值
422,valid-word-square,有效的单词方块
423,reconstruct-original-digits-from-english,从英文中重建数字
424,longest-repeating-character-replacement,替换后的最长重复字符
425,word-squares,单词方块
426,convert-binary-search-tree-to-sorted-doubly-linked-list,将二叉搜索树转化为排序的双向链表
427,construct-quad-tree,建立四叉树
428,serialize-and-deserialize-n-ary-tree,序列化和反序列化 N 叉树
429,n-ary-tree-level-order-traversal,N 叉树的层序遍历
430,flatten-a-multilevel-doubly-linked-list,扁平化多级双向链表
431,encode-n-ary-tree-to-binary-tree,将 N 叉树编码为二叉树
432,all-oone-data-structure,全 O(1) 的数据结构
433,minimum-genetic-mutation,最小基因变化
434,number-of-segments-in-a-string,字符串中的单词数
435,non-overlapping-intervals,无重叠区间
436,find-right-interval,寻找右区间
437,path-sum-iii,路径总和 III
438,find-all-anagrams-in-a-string,找到字符串中所有字母异位词
439,ternary-expression-parser,三元表达式解析器
440,k-th-smallest-in-lexicographical-order,字典序的第K小数字
441,arranging-coins,排列硬币
442,find-all-duplicates-in-an-array,数组中重复的数据
443,string-compression,压缩字符串
444,sequence-reconstruction,序列重建
445,add-two-numbers-ii,两数相加 II
446,arithmetic-slices-ii-subsequence,等差数列划分 II - 子序列
447,number-of-boomerangs,回旋镖的数量
448,find-all-numbers-disappeared-in-an-array,找到所有数组中消失的数字
449,serialize-and-deserialize-bst,序列化和反序列化二叉搜索树
450,delete-node-in-a-bst,删除二叉搜索树中的节点
451,sort-characters-by-frequency,根据字符出现频率排序
452,minimum-number-of-arrows-to-burst-balloons,用最少数量的箭引爆气球
453,minimum-moves-to-equal-array-elements,最小操作次数使数组元素相等
454,4sum-ii,四数相加 II
455,assign-cookies,分发饼干
456,132-pattern,132 模式
457,circular-array-loop,环形数组是否存在循环
458,poor-pigs,可怜的小猪
459,repeated-substring-pattern,重复的子字符串
460,lfu-cache,LFU 缓存
461,hamming-distance,汉明距离
462,minimum-moves-to-equal-array-elements-ii,最小操作次数使数组元素相等 II
463,island-perimeter,岛屿的周长
464,can-i-win,我能赢吗
465,optimal-account-balancing,最优账单平衡
466,count-the-repetitions,统计重复个数
467,unique-substrings-in-wraparound-string,环绕字符串中唯一的子字符串
468,validate-ip-address,验证IP地址
469,convex-polygon,凸多边形
470,implement-rand10-using-rand7,用 Rand7() 实现 Rand10()
471,encode-string-with-shortest-length,编码最短长度的字符串
472,concatenated-words,连接词
473,matchsticks-to-square,火柴拼正方形
474,ones-and-zeroes,一和零
475,heaters,供暖器
476,number-complement,数字的补数
477,total-hamming-distance,汉明距离总和
478,generate-random-point-in-a-circle,在圆内随机生成点
479,largest-palindrome-product,最大回文数乘积
480,sliding-window-median,滑动窗口中位数
481,magical-string,神奇字符串
482,license-key-formatting,密钥格式化
483,smallest-good-base,最小好进制
484,find-permutation,寻找排列
485,max-consecutive-ones,最大连续 1 的个数
486,predict-the-winner,预测赢家
487,max-consecutive-ones-ii,最大连续1的个数 II
488,zuma-game,祖玛游戏
489,robot-room-cleaner,扫地机器人
490,the-maze,迷宫
491,non-decreasing-subsequences,非递减子序列
492,construct-the-rectangle,构造矩形
493,reverse-pairs,翻转对
494,target-sum,目标和
495,teemo-attacking,提莫攻击
496,next-greater-element-i,下一个更大元素 I
497,random-point-in-non-overlapping-rectangles,非重叠矩形中的随机点
498,diagonal-traverse,对角线遍历
499,the-maze-iii,迷宫 III
500,keyboard-row,键盘行
501,find-mode-in-binary-search-tree,二叉搜索树中的众数
502,ipo,IPO
503,next-greater-element-ii,下一个更大元素 II
504,base-7,七进制数
505,the-maze-ii,迷宫 II
506,relative-ranks,相对名次
507,perfect-number,完美数
508,most-frequent-subtree-sum,出现次数最多的子树元素和
509,fibonacci-number,斐波那契数
510,inorder-successor-in-bst-ii,二叉搜索树中的中序后继 II
511,game-play-analysis-i,游戏玩法分析 I
512,game-play-analysis-ii,游戏玩法分析 II
513,find-bottom-left-tree-value,找树左下角的值
514,freedom-trail,自由之路
515,find-largest-value-in-each-tree-row,在每个树行中找最大值
516,longest-palindromic-subsequence,最长回文子序列
517,super-washing-machines,超级洗衣机
518,coin-change-ii,零钱兑换 II
519,random-flip-matrix,随机翻转矩阵
520,detect-capital,检测大写字母
521,longest-uncommon-subsequence-i,最长特殊序列 Ⅰ
522,longest-uncommon-subsequence-ii,最长特殊序列 II
523,continuous-subarray-sum,连续的子数组和
524,longest-word-in-dictionary-through-deleting,通过删除字母匹配到字典里最长单词
525,contiguous-array,连续数组
526,beautiful-arrangement,优美的排列
527,word-abbreviation,单词缩写
528,random-pick-with-weight,按权重随机选择
529,minesweeper,扫雷游戏
530,minimum-absolute-difference-in-bst,二叉搜索树的最小绝对差
531,lonely-pixel-i,孤独像素 I
532,k-diff-pairs-in-an-array,数组中的 k-diff 数对
533,lonely-pixel-ii,孤独像素 II
534,game-play-analysis-iii,游戏玩法分析 III
535,encode-and-decode-tinyurl,TinyURL 的加密与解密
536,construct-binary-tree-from-string,从字符串生成二叉树
537,complex-number-multiplication,复数乘法
538,convert-bst-to-greater-tree,把二叉搜索树转换为累加树
539,minimum-time-difference,最小时间差
540,single-element-in-a-sorted-array,有序数组中的单一元素
541,reverse-string-ii,反转字符串 II
542,01-matrix,01 矩阵
543,diameter-of-binary-tree,二叉树的直径
544,output-contest-matches,输出比赛匹配对
545,boundary-of-binary-tree,二叉树的边界
546,remove-boxes,移除盒子
547,number-of-provinces,省份数量
548,split-array-with-equal-sum,将数组分割成和相等的子数组
549,binary-tree-longest-consecutive-sequence-ii,二叉树最长连续序列 II
550,game-play-analysis-iv,游戏玩法分析 IV
551,student-attendance-record-i,学生出勤记录 I
552,student-attendance-record-ii,学生出勤记录 II
553,optimal-division,最优除法
554,brick-wall,砖墙
555,split-concatenated-strings,分割连接字符串
556,next-greater-element-iii,下一个更大元素 III
557,reverse-words-in-a-string-iii,反转字符串中的单词 III
558,logical-or-of-two-binary-grids-represented-as-quad-trees,四叉树交集
559,maximum-depth-of-n-ary-tree,N 叉树的最大深度
560,subarray-sum-equals-k,和为 K 的子数组
561,array-partition,数组拆分
562,longest-line-of-consecutive-one-in-matrix,矩阵中最长的连续1线段
563,binary-tree-tilt,二叉树的坡度
564,find-the-closest-palindrome,寻找最近的回文数
565,array-nesting,数组嵌套
566,reshape-the-matrix,重塑矩阵
567,permutation-in-string,字符串的排列
568,maximum-vacation-days,最大休假天数
569,median-employee-salary,员工薪水中位数
570,managers-with-at-least-5-direct-reports,至少有5名直接下属的经理
571,find-median-given-frequency-of-numbers,给定数字的频率查询中位数
572,subtree-of-another-tree,另一棵树的子树
573,squirrel-simulation,松鼠模拟
574,winning-candidate,当选者
575,distribute-candies,分糖果
576,out-of-boundary-paths,出界的路径数
577,employee-bonus,员工奖金
578,get-highest-answer-rate-question,查询回答率最高的问题
579,find-cumulative-salary-of-an-employee,查询员工的累计薪水
580,count-student-number-in-departments,统计各专业学生人数
581,shortest-unsorted-continuous-subarray,最短无序连续子数组
582,kill-process,杀掉进程
583,delete-operation-for-two-strings,两个字符串的删除操作
584,find-customer-referee,寻找用户推荐人
585,investments-in-2016,2016年的投资
586,customer-placing-the-largest-number-of-orders,订单最多的客户
587,erect-the-fence,安装栅栏
588,design-in-memory-file-system,设计内存文件系统
589,n-ary-tree-preorder-traversal,N 叉树的前序遍历
590,n-ary-tree-postorder-traversal,N 叉树的后序遍历
591,tag-validator,标签验证器
592,fraction-addition-and-subtraction,分数加减运算
593,valid-square,有效的正方形
594,longest-harmonious-subsequence,最长和谐子序列
595,big-countries,大的国家
596,classes-more-than-5-students,超过 5 名学生的课
597,friend-requests-i-overall-acceptance-rate,好友申请 I：总体通过率
598,range-addition-ii,区间加法 II
599,minimum-index-sum-of-two-lists,两个列表的最小索引总和
600,non-negative-integers-without-consecutive-ones,不含连续1的非负整数
601,human-traffic-of-stadium,体育馆的人流量
602,friend-requests-ii-who-has-the-most-friends,好友申请 II ：谁有最多的好友
603,consecutive-available-seats,连续空余座位
604,design-compressed-string-iterator,迭代压缩字符串
605,can-place-flowers,种花问题
606,construct-string-from-binary-tree,根据二叉树创建字符串
607,sales-person,销售员
608,tree-node,树节点
609,find-duplicate-file-in-system,在系统中查找重复文件
610,triangle-judgement,判断三角形
611,valid-triangle-number,有效三角形的个数
612,shortest-distance-in-a-plane,平面上的最近距离
613,shortest-distance-in-a-line,直线上的最近距离
614,second-degree-follower,二级关注者
615,average-salary-departments-vs-company,平均工资：部门与公司比较
616,add-bold-tag-in-string,给字符串添加加粗标签
617,merge-two-binary-trees,合并二叉树
618,students-report-by-geography,学生地理信息报告
619,biggest-single-number,只出现一次的最大数字
620,not-boring-movies,有趣的电影
621,task-scheduler,任务调度器
622,design-circular-queue,设计循环队列
623,add-one-row-to-tree,在二叉树中增加一行
624,maximum-distance-in-arrays,数组列表中的最大距离
625,minimum-factorization,最小因式分解
626,exchange-seats,换座位
627,swap-salary,变更性别
628,maximum-product-of-three-numbers,三个数的最大乘积
629,k-inverse-pairs-array,K 个逆序对数组
630,course-schedule-iii,课程表 III
631,design-excel-sum-formula,设计 Excel 求和公式
632,smallest-range-covering-elements-from-k-lists,最小区间
633,sum-of-square-numbers,平方数之和
634,find-the-derangement-of-an-array,寻找数组的错位排列
635,design-log-storage-system,设计日志存储系统
636,exclusive-time-of-functions,函数的独占时间
637,average-of-levels-in-binary-tree,二叉树的层平均值
638,shopping-offers,大礼包
639,decode-ways-ii,解码方法 II
640,solve-the-equation,求解方程
641,design-circular-deque,设计循环双端队列
642,design-search-autocomplete-system,设计搜索自动补全系统
643,maximum-average-subarray-i,子数组最大平均数 I
644,maximum-average-subarray-ii,子数组最大平均数 II
645,set-mismatch,错误的集合
646,maximum-length-of-pair-chain,最长数对链
647,palindromic-substrings,回文子串
648,replace-words,单词替换
649,dota2-senate,Dota2 参议院
650,2-keys-keyboard,两个键的键盘
651,4-keys-keyboard,四个键的键盘
652,find-duplicate-subtrees,寻找重复的子树
653,two-sum-iv-input-is-a-bst,两数之和 IV - 输入二叉搜索树
654,maximum-binary-tree,最大二叉树
655,print-binary-tree,输出二叉树
656,coin-path,成本最小路径
